湖北电信,#genre#
河南卫视,http://60.176.127.140:55555/udp/233.50.201.44:5140
云南卫视,http://60.176.127.140:55555/udp/233.50.201.46:5140
天津卫视,http://60.176.127.140:55555/udp/233.50.201.47:5140
吉林卫视,http://60.176.127.140:55555/udp/233.50.201.48:5140
广西卫视,http://60.176.127.140:55555/udp/233.50.201.49:5140
河北卫视,http://60.176.127.140:55555/udp/233.50.201.50:5140
山西卫视,http://60.176.127.140:55555/udp/233.50.201.51:5140
湖南卫视,http://60.176.127.140:55555/udp/233.50.201.52:5140
江西卫视,http://60.176.127.140:55555/udp/233.50.201.53:5140
海南卫视,http://60.176.127.140:55555/udp/233.50.201.55:5140
广东卫视,http://60.176.127.140:55555/udp/233.50.201.56:5140
宁夏卫视,http://60.176.127.140:55555/udp/233.50.201.57:5140
东南卫视,http://60.176.127.140:55555/udp/233.50.201.58:5140
陕西卫视,http://60.176.127.140:55555/udp/233.50.201.59:5140
辽宁卫视,http://60.176.127.140:55555/udp/233.50.201.60:5140
四川卫视,http://60.176.127.140:55555/udp/233.50.201.61:5140
